Mois,Très bas,Bas,Modérément bas,Autour de la normale,Modérément haut,Haut,Très haut
Décembre 2022,10.173160173160174,8.225108225108226,18.542568542568542,25.18037518037518,28.13852813852814,6.70995670995671,3.0303030303030303
Janvier 2023,18.650217706821483,13.13497822931785,21.6255442670537,20.101596516690854,18.432510885341074,5.2249637155297535,2.8301886792452833
Février 2023,31.921110299488674,19.430241051862673,24.83564645726808,12.783053323593865,6.939371804236669,1.9722425127830532,2.118334550766983
Mars 2023,27.716994894237786,17.943107221006567,24.653537563822027,14.587892049598834,10.795040116703136,1.8234865061998542,2.4799416484318018
Avril 2023,23.482077542062914,14.264813460131675,18.873445501097294,14.923189465983908,14.045354791514264,9.290416971470373,5.120702267739576
Mai 2023,24.02645113886848,13.51947097722263,22.556943423952976,16.458486407053638,14.254224834680382,5.437178545187362,3.7472446730345332
Juin 2023,20.614035087719298,13.669590643274853,26.46198830409357,20.10233918128655,11.988304093567251,4.239766081871345,2.923976608187134
Juillet 2023,21.071953010279003,12.77533039647577,26.87224669603524,19.750367107195302,13.876651982378855,3.450807635829662,2.2026431718061676
Août 2023,20.386904761904763,13.764880952380953,22.470238095238095,17.93154761904762,15.029761904761903,6.770833333333333,3.6458333333333335
Septembre 2023,20.990391722099037,13.155949741315595,20.768662232076863,19.807834441980784,14.042867701404289,6.947524020694752,4.286770140428677
Octobre 2023,21.565617805065234,12.893323100537222,22.947045280122794,20.107444359171144,14.504988488104376,4.22102839600921,3.760552570990023
Novembre 2023,13.046937151949084,7.478122513922036,12.967382657120128,12.17183770883055,14.558472553699284,15.592680986475735,24.184566428003183
