annee,mois,valeur,niveau_nappes
2023,1,-0.40066368420398885,Modérément bas
2023,2,-0.8433789901082016,Bas
2023,3,-0.6442482224534477,Modérément bas
2023,4,-0.3091334887917167,Modérément bas
2023,5,-0.3658417892190518,Modérément bas
2023,6,-0.36871174274009383,Modérément bas
2023,7,-0.3828252078964951,Modérément bas
2023,8,-0.27864413086777035,Modérément bas
2023,9,-0.25345306785824206,Modérément bas
2023,10,-0.41859656555603614,Modérément bas
2023,11,0.2332358560255976,Autour de la normale
2023,12,0.2740570810936861,Modérément haut
2024,1,0.15552330722860838,Autour de la normale
