annee,mois,valeur,niveau_nappes
2023,1,-0.36575039232335177,Modérément bas
2023,2,-0.8752307761477531,Bas
2023,3,-0.715057522169799,Modérément bas
2023,4,-0.39133529149675306,Modérément bas
2023,5,-0.41848055970927234,Modérément bas
2023,6,-0.40907970901405094,Modérément bas
2023,7,-0.45482914980327854,Modérément bas
2023,8,-0.3373855673963546,Modérément bas
2023,9,-0.3555353261268314,Modérément bas
2023,10,-0.5277596311463629,Modérément bas
2023,11,0.2818712311004612,Modérément haut
2023,12,0.3516264651990152,Modérément haut
2024,1,0.16306321675259786,Autour de la normale
