annee,mois,valeur,niveau_nappes
2023,2,-0.8196409092923829,Modérément bas
2023,3,-0.697516267019118,Modérément bas
2023,4,-0.4339017590094778,Modérément bas
2023,5,-0.5047525584630888,Modérément bas
2023,6,-0.5002149454485427,Modérément bas
2023,7,-0.5118628445043784,Modérément bas
2023,8,-0.41714300958602846,Modérément bas
2023,9,-0.411579097074813,Modérément bas
2023,10,-0.4586927318967197,Modérément bas
2023,11,0.28457632386463055,Modérément haut
2023,12,0.41496220062740524,Modérément haut
2024,1,0.22279222656191436,Autour de la normale
